ProviderNbr,NpiNbr,FirstName,LastName,Email,Prefix,FTE,ProviderCategory,SpecialityCode
215385,187721422,Daisy,Phillips,daisy.phillips@datacourse.com,,1.0,Nurse Practitioner,50
216543,187710320,Katherine,Petty,katherine.petty@datacourse.com,,1.0,Physician Assistant,97
215494,187724126,Jessica,Petersen,jessica.petersen@datacourse.com,,1.0,Nurse Practitioner,50
216542,187720980,Pamela,Peters,pamela.peters@datacourse.com,,0.75,Nurse Practitioner,50
215497,187713492,Meghan,Perkins,meghan.perkins@datacourse.com,,1.0,Physician Assistant,97
215480,187723580,Tyler,Pennington,tyler.pennington@datacourse.com,,1.0,Physician Assistant,97
215932,187701688,Carolyn,Owens,carolyn.owens@datacourse.com,,0.16,Nurse Practitioner,50
215570,187702650,Paul,Ortega,paul.ortega@datacourse.com,,0.5,Physician Assistant,97
215441,187712842,Michael,Oneill,michael.oneill@datacourse.com,,0.75,Physician Assistant,97
217114,187710892,Christopher,Oliver,christopher.oliver@datacourse.com,,0.9,Nurse Practitioner,50
216719,187712790,Raymond,Odonnell,raymond.odonnell@datacourse.com,,0.9,Physician Assistant,97
215907,187704912,Brian,Oconnor,brian.oconnor@datacourse.com,,1.0,Nurse Practitioner,50
216608,187717652,Michelle,Norris,michelle.norris@datacourse.com,,1.0,Nurse Practitioner,50
217037,187709228,Tamara,Nixon,tamara.nixon@datacourse.com,,0.6,Physician Assistant,97
217309,187706264,Shelby,Nguyen,shelby.nguyen@datacourse.com,,0.0,Physician Assistant,97
218448,187718822,Joseph,Neal,joseph.neal@datacourse.com,,0.11,Social Worker - Clinical,80
215357,187718536,Anthony,Navarro,anthony.navarro@datacourse.com,,0.9,Nurse Practitioner,50
216833,187716066,Jordan,Nash,jordan.nash@datacourse.com,,0.9,Physician Assistant,97
215564,187711828,April,Munoz,april.munoz@datacourse.com,,0.9,Nurse Practitioner,50
216953,187708682,Michael,Mullen,michael.mullen@datacourse.com,,0.9,Physician Assistant,97
216062,187708032,Wendy,Moyer,wendy.moyer@datacourse.com,,1.0,Nurse Practitioner,50
217626,187709540,Christopher,Mosley,christopher.mosley@datacourse.com,,0.44,Nurse Practitioner,50
216071,187716664,Melissa,Morse,melissa.morse@datacourse.com,,1.0,Registered Nurse,43
215960,187712036,Jared,Morrow,jared.morrow@datacourse.com,,1.0,Nurse Practitioner,50
215484,187721006,Hayley,Montgomery,hayley.montgomery@datacourse.com,,0.9,Physician Assistant,97
215840,187709956,Jeffrey,Miranda,jeffrey.miranda@datacourse.com,,1.0,Physician Assistant,97
216016,187708370,Cassandra,Mills,cassandra.mills@datacourse.com,,1.0,Nurse Practitioner,50
212444,187708448,Richard,Miller,richard.miller@datacourse.com,,0.41,Psychologist,68
216459,187711256,Jose,Michael,jose.michael@datacourse.com,,1.0,Physician Assistant,97
215936,187717860,Kevin,Meyers,kevin.meyers@datacourse.com,,0.75,Nurse Practitioner,50
215857,187719446,Anthony,Mercado,anthony.mercado@datacourse.com,,1.0,Physician Assistant,97
217093,187711854,Christopher,Mcmillan,christopher.mcmillan@datacourse.com,,0.9,Nurse Practitioner,50
216882,187706134,Steven,Mckee,steven.mckee@datacourse.com,,0.8,Physician Assistant,97
216646,187709904,Stephen,Mcintosh,stephen.mcintosh@datacourse.com,,0.9,Registered Nurse,43
215740,187701662,Nicole,Mcfarland,nicole.mcfarland@datacourse.com,,1.0,Nurse Practitioner,50
216775,187712816,Abigail,Mcdowell,abigail.mcdowell@datacourse.com,,0.63,Nurse Practitioner,50
216470,187715390,Jordan,Mcdonald,jordan.mcdonald@datacourse.com,,1.0,Nurse Practitioner,50
215432,187721188,Jose,Mccann,jose.mccann@datacourse.com,,1.0,Nurse Practitioner,50
216061,187724022,Stephanie,Martin,stephanie.martin@datacourse.com,,0.5,Nurse Practitioner,50
215301,187704730,Valerie,Marshall,valerie.marshall@datacourse.com,,1.0,Nurse Practitioner,50
217721,187714324,Dawn,Marsh,dawn.marsh@datacourse.com,,0.5,Nurse Practitioner,50
215986,187711750,Jason,Malone,jason.malone@datacourse.com,,1.0,Physician Assistant,97
212332,187723554,David,Mahoney,david.mahoney@datacourse.com,,0.1,Psychologist,68
215262,187716612,Steven,Madden,steven.madden@datacourse.com,,0.3,Nurse Practitioner,50
217785,187708500,Michelle,Lynch,michelle.lynch@datacourse.com,,0.0,Physician Assistant,97
213767,187712582,Stephanie,Lowery,stephanie.lowery@datacourse.com,,0.16,Social Worker - Clinical,80
216892,187705198,Ashley,Long,ashley.long@datacourse.com,,0.9,Nurse Practitioner,50
216098,187710606,Nicholas,Lindsey,nicholas.lindsey@datacourse.com,,0.75,Physician Assistant,97
215856,187702130,Benjamin,Leon,benjamin.leon@datacourse.com,,0.45,Nurse Practitioner,50
216848,187718484,Jon,Le,jon.le@datacourse.com,,1.0,Nurse Practitioner,50
216983,187700050,Chelsea,Lamb,chelsea.lamb@datacourse.com,,1.0,Nurse Practitioner,50
214180,187717028,Nicole,Knight,nicole.knight@datacourse.com,,1.0,Physician Assistant,97
216211,187703248,Christopher,Klein,christopher.klein@datacourse.com,,0.9,Nurse Practitioner,50
215835,187719602,Patricia,Kirby,patricia.kirby@datacourse.com,,1.0,Nurse Practitioner,50
215592,187713830,Andrew,Key,andrew.key@datacourse.com,,0.96,Physician Assistant,97
216557,187703508,Ryan,Keith,ryan.keith@datacourse.com,,0.02,Midwife,42
215304,187715026,Steven,Kaufman,steven.kaufman@datacourse.com,,1.0,Physician Assistant,97
216700,187719758,Ian,Juarez,ian.juarez@datacourse.com,,0.39,Nurse Practitioner,50
218256,187714714,Christina,Johnson,christina.johnson@datacourse.com,,0.2,Nurse Practitioner,50
215368,187707382,David,Johns,david.johns@datacourse.com,,1.0,Nurse Practitioner,50
216503,187719966,Steven,Jacobs,steven.jacobs@datacourse.com,,1.0,Nurse Practitioner,50
217432,187703820,Sarah,Irwin,sarah.irwin@datacourse.com,,1.0,Physician Assistant,97
216714,187717964,William,Huber,william.huber@datacourse.com,,0.75,Physician Assistant,97
215635,187712946,Mitchell,Horne,mitchell.horne@datacourse.com,,0.07,Physician Assistant,97
211846,187722306,Meghan,Horn,meghan.horn@datacourse.com,,0.04,Psychologist,68
216825,187714116,Paul,Hopkins,paul.hopkins@datacourse.com,,1.0,Nurse Practitioner,50
217052,187706966,Ronald,Hodges,ronald.hodges@datacourse.com,,1.0,Nurse Practitioner,50
215756,187720148,Karen,Hodge,karen.hodge@datacourse.com,,0.75,Nurse Practitioner,50
215939,187717886,Brenda,Hobbs,brenda.hobbs@datacourse.com,,1.0,Nurse Practitioner,50
216450,187721838,Lauren,Higgins,lauren.higgins@datacourse.com,,1.0,Physician Assistant,97
216709,187718198,Cathy,Hickman,cathy.hickman@datacourse.com,,1.0,Physician Assistant,97
216362,187720928,Lisa,Herrera,lisa.herrera@datacourse.com,,0.9,Physician Assistant,97
215983,187721812,Patrick,Hernandez,patrick.hernandez@datacourse.com,,1.0,Physician Assistant,97
215460,187717106,Robert,Henry,robert.henry@datacourse.com,,0.9,Nurse Practitioner,50
215694,187717938,Jennifer,Henderson,jennifer.henderson@datacourse.com,,0.75,Nurse Practitioner,50
216369,187714948,Chad,Hebert,chad.hebert@datacourse.com,,1.0,Nurse Practitioner,50
215716,187722332,Rebecca,Harris,rebecca.harris@datacourse.com,,1.0,Physician Assistant,97
215808,187703612,Daniel,Harmon,daniel.harmon@datacourse.com,,0.8,Nurse Practitioner,50
216159,187705146,Sharon,Hansen,sharon.hansen@datacourse.com,,1.0,Nurse Practitioner,50
215777,187714402,Lisa,Hanna,lisa.hanna@datacourse.com,,0.07,Physician Assistant,97
215535,187701636,Michael,Hall,michael.hall@datacourse.com,,1.0,Physician Assistant,97
214432,187708422,Sherry,Griffith,sherry.griffith@datacourse.com,,0.1,Psychologist,68
215814,187706290,Jesse,Gomez,jesse.gomez@datacourse.com,,1.0,Nurse Practitioner,50
215334,187723242,Cheryl,Gilbert,cheryl.gilbert@datacourse.com,,1.0,Nurse Practitioner,50
215908,187716144,Richard,Gibbs,richard.gibbs@datacourse.com,,1.0,Physician Assistant,97
217423,187711776,Mark,Gentry,mark.gentry@datacourse.com,,1.0,Nurse Practitioner,50
216617,187715260,Sonya,Gay,sonya.gay@datacourse.com,,0.09,Physician Assistant,97
216917,187705822,Karen,Garner,karen.garner@datacourse.com,,1.0,Nurse Practitioner,50
215585,187709046,Lucas,Fuller,lucas.fuller@datacourse.com,,1.0,Physician Assistant,97
216296,187703794,Christopher,Fuentes,christopher.fuentes@datacourse.com,,1.0,Physician Assistant,97
216759,187702702,Alex,Fry,alex.fry@datacourse.com,,0.75,Nurse Practitioner,50
216870,187709488,David,Fritz,david.fritz@datacourse.com,,0.6,Nurse Practitioner,50
216845,187703326,Lindsey,Franklin,lindsey.franklin@datacourse.com,,1.0,Physician Assistant,97
216929,187720954,Michelle,Foster,michelle.foster@datacourse.com,,1.0,Nurse Practitioner,50
215586,187700596,Kiara,Foley,kiara.foley@datacourse.com,,1.0,Physician Assistant,97
216357,187717444,Richard,Fletcher,richard.fletcher@datacourse.com,,0.5,Nurse Practitioner,50
217075,187704340,Nancy,Ferrell,nancy.ferrell@datacourse.com,,0.9,Physician Assistant,97
215552,187706758,Jeremy,Faulkner,jeremy.faulkner@datacourse.com,,1.0,Nurse Practitioner,50
217168,187709124,Brian,Farrell,brian.farrell@datacourse.com,,0.9,Physician Assistant,97
218239,187709332,Leslie,Ellison,leslie.ellison@datacourse.com,,0.14,Physician Assistant,97
216011,187706914,Carlos,Edwards,carlos.edwards@datacourse.com,,0.9,Physician Assistant,97
216316,187704496,John,Dunlap,john.dunlap@datacourse.com,,1.0,Physician Assistant,97
216715,187702572,Angela,Douglas,angela.douglas@datacourse.com,,1.0,Physician Assistant,97
218370,187707174,Melissa,Dougherty,melissa.dougherty@datacourse.com,,0.36,Social Worker - Clinical,80
215418,187701714,Amanda,Dorsey,amanda.dorsey@datacourse.com,,1.0,Nurse Practitioner,50
215341,187715416,Donna,Donovan,donna.donovan@datacourse.com,,0.48,Psychologist,68
215455,187719914,Elizabeth,Dixon,elizabeth.dixon@datacourse.com,,0.9,Physician Assistant,97
215228,187717132,Nicole,Dickson,nicole.dickson@datacourse.com,,1.0,Nurse Practitioner,50
215901,187723216,Tonya,Dennis,tonya.dennis@datacourse.com,,1.0,Nurse Practitioner,50
215601,187709202,Maria,Davies,maria.davies@datacourse.com,,0.9,Physician Assistant,97
216028,187711932,Dustin,Daugherty,dustin.daugherty@datacourse.com,,1.0,Nurse Practitioner,50
216504,187711178,Sarah,Daniels,sarah.daniels@datacourse.com,,1.0,Nurse Practitioner,50
216581,187712400,Scott,Curry,scott.curry@datacourse.com,,1.0,Physician Assistant,97
215580,187711100,Robin,Cordova,robin.cordova@datacourse.com,,1.0,Physician Assistant,97
216477,187717756,Jennifer,Cooper,jennifer.cooper@datacourse.com,,1.0,Nurse Practitioner,50
215721,187718848,Brandon,Compton,brandon.compton@datacourse.com,,1.0,Nurse Practitioner,50
215387,187709748,Kimberly,Combs,kimberly.combs@datacourse.com,,1.0,Nurse Practitioner,50
216041,187700154,Amy,Coffey,amy.coffey@datacourse.com,,0.9,Physician Assistant,97
216096,187715546,Emily,Clayton,emily.clayton@datacourse.com,,1.0,Nurse Practitioner,50
215300,187713648,Francisco,Chung,francisco.chung@datacourse.com,,1.0,Nurse Practitioner,50
216276,187721734,Elizabeth,Christensen,elizabeth.christensen@datacourse.com,,0.75,Nurse Practitioner,50
215865,187701974,Alexis,Chambers,alexis.chambers@datacourse.com,,1.0,Nurse Practitioner,50
211008,187719082,Michael,Carroll,michael.carroll@datacourse.com,,0.43,Social Worker - Clinical,80
215947,187705744,Linda,Campos,linda.campos@datacourse.com,,1.0,Physician Assistant,97
216333,187708786,Jim,Cameron,jim.cameron@datacourse.com,,0.24,Psychologist,68
213596,187701376,Joshua,Camacho,joshua.camacho@datacourse.com,,0.11,Physician Assistant,97
216765,187717158,Theresa,Callahan,theresa.callahan@datacourse.com,,1.0,Physician Assistant,97
215949,187724334,Scott,Burgess,scott.burgess@datacourse.com,,0.05,Physician Assistant,97
213803,187707642,Kurt,Buchanan,kurt.buchanan@datacourse.com,,0.29,Psychologist,68
217025,187713778,Dylan,Bryant,dylan.bryant@datacourse.com,,0.9,Nurse Practitioner,50
216891,187714662,Carlos,Brock,carlos.brock@datacourse.com,,1.0,Nurse Practitioner,50
215221,187700882,Bryan,Bradley,bryan.bradley@datacourse.com,,0.75,Physician Assistant,97
216144,187713752,Brandy,Bonilla,brandy.bonilla@datacourse.com,,1.0,Nurse Practitioner,50
215321,187715598,Deanna,Blankenship,deanna.blankenship@datacourse.com,,0.07,Midwife,42
216384,187715572,William,Bird,william.bird@datacourse.com,,1.0,Physician Assistant,97
215297,187721162,Mariah,Best,mariah.best@datacourse.com,,0.5,Physician Assistant,97
216080,187719342,Daniel,Bernard,daniel.bernard@datacourse.com,,0.3,Nurse Practitioner,50
215298,187719706,Carlos,Beltran,carlos.beltran@datacourse.com,,1.0,Specialist,89
216121,187716794,Christopher,Beard,christopher.beard@datacourse.com,,0.9,Nurse Practitioner,50
215632,187710294,Christina,Bauer,christina.bauer@datacourse.com,,1.0,Physician Assistant,97
216409,187713180,Brandon,Barrett,brandon.barrett@datacourse.com,,0.9,Nurse Practitioner,50
215323,187711412,Jennifer,Arnold,jennifer.arnold@datacourse.com,,0.9,Nurse Practitioner,50
218052,187707434,Samuel,Andrade,samuel.andrade@datacourse.com,,0.9,Nurse Practitioner,50
216789,187706108,Jesse,Adkins,jesse.adkins@datacourse.com,,1.0,Nurse Practitioner,50
216717,187707044,Alicia,Acosta,alicia.acosta@datacourse.com,,1.0,Nurse Practitioner,50
215176,187702858,Daniel,Bruce,daniel.bruce@datacourse.com,Dr.,0.65,Diagnostic Radiology,30
215178,187717990,Rachel,Vazquez,rachel.vazquez@datacourse.com,Dr.,0.8,Pathology,22
215181,187706706,Samantha,Bartlett,samantha.bartlett@datacourse.com,Dr.,0.6,Pediatrics,37
215182,187707486,Mark,Rocha,mark.rocha@datacourse.com,Dr.,1.0,Family Medicine,8
215183,187701012,Julie,Sherman,julie.sherman@datacourse.com,Dr.,0.2,Pediatrics,37
215184,187700102,Misty,Baker,misty.baker@datacourse.com,Dr.,0.65,Psychiatry & Neurology,86
215188,187704158,Timothy,Whitaker,timothy.whitaker@datacourse.com,Dr.,1.0,Diagnostic Radiology,30
215189,187700700,Kevin,Townsend,kevin.townsend@datacourse.com,Dr.,0.95,Diagnostic Radiology,30
215191,187724152,Jerome,Castillo,jerome.castillo@datacourse.com,Dr.,0.37,Diagnostic Radiology,30
215192,187708058,Chase,Boyle,chase.boyle@datacourse.com,Dr.,0.19,Obstetrics & Gynecology,16
215193,187709098,Charles,Benton,charles.benton@datacourse.com,Dr.,0.45,Pediatrics,37
215195,187702312,Jeremy,Cain,jeremy.cain@datacourse.com,Dr.,1.0,Family Medicine,8
215197,187716300,Maureen,Mcconnell,maureen.mcconnell@datacourse.com,Dr.,0.85,Surgery,2
215198,187713336,Karen,Fernandez,karen.fernandez@datacourse.com,Dr.,1.0,Internal Medicine,11
215199,187702780,Jacqueline,Bray,jacqueline.bray@datacourse.com,Dr.,1.0,Internal Medicine,11
215202,187719550,Kelly,Liu,kelly.liu@datacourse.com,Dr.,0.41,Surgery,2
215203,187712686,Krystal,Gonzalez,krystal.gonzalez@datacourse.com,Dr.,0.36,Physical Medicine & Rehabilitation,25
215207,187714480,Kristin,Delgado,kristin.delgado@datacourse.com,Dr.,0.85,Diagnostic Radiology,30
215210,187718250,Cheryl,Salazar,cheryl.salazar@datacourse.com,Dr.,0.25,Psychologist,68
215216,187715208,Andrea,Barrera,andrea.barrera@datacourse.com,Dr.,0.67,Obstetrics & Gynecology,16
215217,187722644,Laurie,Chaney,laurie.chaney@datacourse.com,Dr.,0.45,Internal Medicine,11
215218,187700362,Jesse,Walton,jesse.walton@datacourse.com,Dr.,1.0,Emergency Medicine,93
215220,187721890,Patricia,Harrington,patricia.harrington@datacourse.com,Dr.,0.95,Pediatrics,37
215226,187712010,Lori,Travis,lori.travis@datacourse.com,Dr.,0.9,Internal Medicine,11
215227,187702910,Brian,Estrada,brian.estrada@datacourse.com,Dr.,1.0,Diagnostic Radiology,30
215230,187711542,Justin,Lyons,justin.lyons@datacourse.com,Dr.,0.96,Internal Medicine,11
215231,187718562,Nicholas,Barr,nicholas.barr@datacourse.com,Dr.,1.0,Emergency Medicine,93
215233,187713310,Christopher,Walter,christopher.walter@datacourse.com,Dr.,0.85,Nuclear Medicine,36
215234,187701558,Andrea,Hays,andrea.hays@datacourse.com,Dr.,0.95,Diagnostic Radiology,30
215236,187716430,Kenneth,Phelps,kenneth.phelps@datacourse.com,Dr.,1.0,Family Medicine,8
215239,187703898,Robert,Woodard,robert.woodard@datacourse.com,Dr.,0.2,Pediatrics,37
215242,187723918,Gabriel,Vincent,gabriel.vincent@datacourse.com,Dr.,1.0,Psychiatry & Neurology,86
215243,187701194,Aaron,Conley,aaron.conley@datacourse.com,Dr.,1.0,Family Medicine,8
215244,187710684,Roger,Cisneros,roger.cisneros@datacourse.com,Dr.,0.45,Ophthalmology,18
215246,187712192,Vincent,Massey,vincent.massey@datacourse.com,Dr.,0.57,Internal Medicine,11
215247,187701948,Virginia,York,virginia.york@datacourse.com,Dr.,0.58,Family Medicine,8
215248,187719680,Sharon,Sims,sharon.sims@datacourse.com,Dr.,0.41,Psychologist,68
215250,187714688,Willie,Boone,willie.boone@datacourse.com,Dr.,0.6,Internal Medicine,11
215251,187713076,Jeffrey,Mckenzie,jeffrey.mckenzie@datacourse.com,Dr.,1.0,Family Medicine,8
215252,187711334,Diane,Fitzpatrick,diane.fitzpatrick@datacourse.com,Dr.,0.42,Internal Medicine,11
215254,187705094,Scott,Rodriguez,scott.rodriguez@datacourse.com,Dr.,1.0,Surgery - Vascular Surgery,77
215258,187704366,Timothy,Beck,timothy.beck@datacourse.com,Dr.,1.0,Diagnostic Radiology,30
215261,187700518,Brittney,Page,brittney.page@datacourse.com,Dr.,0.95,Pediatrics,37
215266,187715442,Eddie,Ryan,eddie.ryan@datacourse.com,Dr.,0.93,Internal Medicine,11
215267,187704028,Travis,Quinn,travis.quinn@datacourse.com,Dr.,0.61,Internal Medicine,11
215269,187702416,Kelly,Carpenter,kelly.carpenter@datacourse.com,Dr.,0.86,Obstetrics & Gynecology,16
215275,187718380,Meredith,Norman,meredith.norman@datacourse.com,Dr.,1.0,Family Medicine,8
215276,187721630,Timothy,Mccarty,timothy.mccarty@datacourse.com,Dr.,1.0,Emergency Medicine,93
215278,187711490,Nicholas,Castaneda,nicholas.castaneda@datacourse.com,Dr.,0.65,Diagnostic Radiology,30
215280,187705068,Christopher,Villegas,christopher.villegas@datacourse.com,Dr.,1.0,Emergency Medicine,93
215281,187715962,Shane,Hardin,shane.hardin@datacourse.com,Dr.,0.9,Internal Medicine,11
215282,187702104,Zachary,Woods,zachary.woods@datacourse.com,Dr.,1.0,Internal Medicine,11
215283,187718354,Shawn,Melton,shawn.melton@datacourse.com,Dr.,0.62,Internal Medicine,11
215285,187700934,Charles,Stuart,charles.stuart@datacourse.com,Dr.,0.19,Pediatrics,37
215288,187720200,Mckenzie,Cunningham,mckenzie.cunningham@datacourse.com,Dr.,0.95,Diagnostic Radiology,30
215289,187712218,Micheal,Palmer,micheal.palmer@datacourse.com,Dr.,1.0,Family Medicine,8
215290,187715182,Lisa,Gates,lisa.gates@datacourse.com,Dr.,0.28,Ophthalmology,18
215291,187706602,Patricia,Boyer,patricia.boyer@datacourse.com,Dr.,0.8,Family Medicine,8
215294,187709306,Peter,Stanton,peter.stanton@datacourse.com,Dr.,0.8,Internal Medicine,11
215295,187700024,Michael,Snow,michael.snow@datacourse.com,Dr.,1.0,Pediatrics,37
215307,187708084,Margaret,Lynn,margaret.lynn@datacourse.com,Dr.,0.7,Internal Medicine,11
215309,187701116,Pam,Woodward,pam.woodward@datacourse.com,Dr.,0.75,Family Medicine,8
215310,187701922,Gary,Orr,gary.orr@datacourse.com,Dr.,1.0,Family Medicine,8
215311,187709176,Donna,Serrano,donna.serrano@datacourse.com,Dr.,1.0,Family Medicine,8
215315,187711048,Phillip,Kidd,phillip.kidd@datacourse.com,Dr.,0.15,Pathology,22
215319,187704418,Richard,Bullock,richard.bullock@datacourse.com,Dr.,0.15,Internal Medicine,11
215320,187702624,Ruben,Sparks,ruben.sparks@datacourse.com,Dr.,0.5,Internal Medicine,11
215324,187706628,Leah,Lewis,leah.lewis@datacourse.com,Dr.,0.55,Internal Medicine,11
215325,187701038,Linda,Barry,linda.barry@datacourse.com,Dr.,0.02,Orthopaedic Surgery,20
215326,187709410,Brian,Carlson,brian.carlson@datacourse.com,Dr.,0.44,Internal Medicine,11
215327,187722618,Charles,Esparza,charles.esparza@datacourse.com,Dr.,0.34,Diagnostic Radiology,30
215328,187710762,Meredith,Guzman,meredith.guzman@datacourse.com,Dr.,1.0,Surgery,2
215331,187719784,Brian,Olson,brian.olson@datacourse.com,Dr.,0.9,Internal Medicine,11
215332,187712608,Kenneth,Villanueva,kenneth.villanueva@datacourse.com,Dr.,1.0,Internal Medicine,11
215338,187713206,Gregory,Holland,gregory.holland@datacourse.com,Dr.,1.0,Diagnostic Radiology,30
215339,187722800,Daisy,Pineda,daisy.pineda@datacourse.com,Dr.,0.5,Psychiatry & Neurology,86
215340,187706212,Juan,Sexton,juan.sexton@datacourse.com,Dr.,0.9,Diagnostic Radiology,30
215342,187712322,Keith,Arias,keith.arias@datacourse.com,Dr.,1.0,Emergency Medicine,93
215344,187717548,Heather,Drake,heather.drake@datacourse.com,Dr.,0.8,Diagnostic Radiology,30
215345,187706238,Mary,Sloan,mary.sloan@datacourse.com,Dr.,0.95,Diagnostic Radiology,30
215349,187705328,Jason,Brown,jason.brown@datacourse.com,Dr.,0.9,Family Medicine,8
215350,187701090,Mandy,Elliott,mandy.elliott@datacourse.com,Dr.,1.0,Surgery,2
215352,187713544,Francisco,Trujillo,francisco.trujillo@datacourse.com,Dr.,0.3,Internal Medicine,11
215355,187715676,Jessica,Cross,jessica.cross@datacourse.com,Dr.,1.0,Internal Medicine,11
215358,187722930,John,Olsen,john.olsen@datacourse.com,Dr.,0.97,Internal Medicine,11
215365,187707694,David,Stephens,david.stephens@datacourse.com,Dr.,1.0,Emergency Medicine,93
215367,187723060,Andrea,Armstrong,andrea.armstrong@datacourse.com,Dr.,0.62,Family Medicine,8
215369,187718328,Katie,Bass,katie.bass@datacourse.com,Dr.,0.75,Internal Medicine,11
215371,187710138,Jessica,Decker,jessica.decker@datacourse.com,Dr.,0.95,Internal Medicine,11
215373,187706420,Andrea,Miles,andrea.miles@datacourse.com,Dr.,0.72,Internal Medicine,11
215374,187707278,Justin,Noble,justin.noble@datacourse.com,Dr.,1.0,Emergency Medicine,93
215376,187723736,Victoria,Mayo,victoria.mayo@datacourse.com,Dr.,1.0,Internal Medicine,11
215380,187701818,Carolyn,Ayala,carolyn.ayala@datacourse.com,Dr.,0.2,Family Medicine,8
215381,187718770,James,Shelton,james.shelton@datacourse.com,Dr.,1.0,Family Medicine,8
